JPT_SJR_KO,C,3;JPT_POWIER,N,19,11;JPT_KOD_JE,C,20;JPT_NAZWA_,C,128;JPT_ORGAN_,C,254;JPT_JOR_ID,N,9,0;WERSJA_OD,D;WERSJA_DO,D;WAZNY_OD,D;WAZNY_DO,D;JPT_KOD__1,C,3;JPT_NAZWA1,C,3;JPT_ORGAN1,C,3;JPT_WAZNA_,C,3;ID_BUFORA_,N,19,11;ID_BUFORA1,N,19,11;ID_TECHNIC,N,9,0;IIP_PRZEST,C,20;IIP_IDENTY,C,128;IIP_WERSJA,C,32;JPT_KJ_IIP,C,20;JPT_KJ_I_1,C,128;JPT_KJ_I_2,C,32;JPT_OPIS,C,254;JPT_SPS_KO,C,3;ID_BUFOR_1,N,9,0;JPT_ID,N,9,0;JPT_POWI_1,N,19,11;JPT_KJ_I_3,C,3;JPT_GEOMET,N,19,11;JPT_GEOM_1,N,19,11;Shape_Leng,N,19,11;Shape_Area,N,19,11;REGON,C,254
POW;54830;1815;powiat ropczycko-sędziszowski;;13415;26.09.2012;2.01.1;26.09.2012;2.01.1;;;NZN;NZN;13878;0;829084;PL.PZGIK.200;e86b1e71-8958-42ee-bec5-ca3c87907bc8;2012-09-27T08:01:01+02:00;EGIB;1815;;;UZG;0;829084;0;;0;0;1,776162651;0,0688251675;69058143600000
POW;77248;1410;powiat łosicki;;13409;26.09.2012;2.01.1;26.09.2012;2.01.1;;;NZN;NZN;13879;0;829095;PL.PZGIK.200;b83d7094-60a3-460b-b308-f7ec80abb622;2012-09-27T08:13:53+02:00;EGIB;1410;;;UZG;0;829095;0;;0;0;2,2202274132;0,1015950874;03023735100000
POW;85203;1427;powiat sierpecki;;13409;26.09.2012;2.01.1;26.09.2012;2.01.1;;;NZN;NZN;13879;0;829112;PL.PZGIK.200;0be630fb-6221-441d-ae7e-a47db756834b;2012-09-27T08:13:53+02:00;EGIB;1427;;;UZG;0;829112;0;;0;0;2,1389176956;0,1135941024;61101616900000
POW;61487;1404;powiat gostyniński;;13409;26.09.2012;2.01.1;26.09.2012;2.01.1;;;NZN;NZN;13879;0;829121;PL.PZGIK.200;e7dfba34-48fe-4274-9cb0-abcc6ff01654;2012-09-27T08:13:53+02:00;EGIB;1404;;;UZG;0;829121;0;;0;0;2,4357711937;0,0811429224;61101610000000
POW;36700;1405;powiat grodziski;;13409;26.09.2012;2.01.1;26.09.2012;2.01.1;;;NZN;NZN;13879;0;829122;PL.PZGIK.200;5c1e181f-3b0f-46f6-8c94-8610f98e8e1b;2012-09-27T08:13:53+02:00;EGIB;1405;;;UZG;0;829122;0;;0;0;1,9234814898;0,0481136022;01326910800000
POW;139425;0611;powiat łukowski;;13411;26.09.2012;2.01.1;26.09.2012;2.01.1;;;NZN;NZN;13874;0;828996;PL.PZGIK.200;c1f55cb1-4a37-4203-9b80-f8888fa9da3f;2012-09-27T07:39:43+02:00;EGIB;0611;;;UZG;0;828996;0;;0;0;3,1053572349;0,181950863;71158182500000
POW;32685;1261;powiat Kraków;;13412;11.07.2013;2.01.1;26.09.2012;2.01.1;;;NZN;NZN;0;14970;829030;PL.PZGIK.200;c4087889-e1af-41db-9c86-f73223dfb8b5;2013-07-11T08:30:38+02:00;EGIB;1261;;;UZG;0;829030;0;;0;0;1,4765565905;0,041030513;35155441300000
POW;85519;1020;powiat zgierski;;13413;26.09.2012;2.01.1;26.09.2012;2.01.1;;;NZN;NZN;13876;0;829053;PL.PZGIK.200;31467083-0a0e-4309-9145-af361b2de888;2012-09-27T07:55:30+02:00;EGIB;1020;;;UZG;0;829053;0;;0;0;2,6116991594;0,1117258135;47205766100000
POW;45184;1810;powiat łańcucki;;13415;26.09.2012;2.01.1;26.09.2012;2.01.1;;;NZN;NZN;13878;0;829079;PL.PZGIK.200;5533017c-cd50-4576-804b-b958e833c6ee;2012-09-27T08:01:01+02:00;EGIB;1810;;;UZG;0;829079;0;;0;0;1,8212327896;0,0567673731;69058137600000
POW;77281;3018;powiat ostrzeszowski;;13417;26.09.2012;2.01.1;26.09.2012;2.01.1;;;NZN;NZN;13881;0;829156;PL.PZGIK.200;79a80ae4-6ccf-4435-bf14-8a92a75a3fe4;2012-09-27T08:59:03+02:00;EGIB;3018;;;UZG;0;829156;0;;0;0;2,4685635147;0,099920149;25085477700000
POW;11180;1463;powiat Radom;;13409;26.09.2012;2.01.1;26.09.2012;2.01.1;;;NZN;NZN;13879;0;829134;PL.PZGIK.200;50972166-aed4-4508-adc3-a716723228d1;2012-09-27T08:13:53+02:00;EGIB;1463;;;UZG;0;829134;0;;0;0;0,7816626731;0,0144410755;67022311000000
POW;53254;1438;powiat żyrardowski;;13409;26.09.2012;2.01.1;26.09.2012;2.01.1;;;NZN;NZN;13879;0;829131;PL.PZGIK.200;156d6311-1a28-4eb7-b7f2-d8ead03a26ac;2012-09-27T08:13:53+02:00;EGIB;1438;;;UZG;0;829131;0;;0;0;2,0736477094;0,0696939203;75014782800000
POW;71104;3016;powiat obornicki;;13417;26.09.2012;2.01.1;26.09.2012;2.01.1;;;NZN;NZN;13881;0;829154;PL.PZGIK.200;fc6420ba-6333-4fef-af46-cbe613e81444;2012-09-27T08:59:03+02:00;EGIB;3016;;;UZG;0;829154;0;;0;0;2,5768887023;0,0945400749;63125801700000
POW;3186;1464;powiat Siedlce;;13409;26.09.2012;2.01.1;26.09.2012;2.01.1;;;NZN;NZN;13879;0;829135;PL.PZGIK.200;334357f9-a2dc-406e-8c17-b3f02e1ba3b9;2012-09-27T08:13:53+02:00;EGIB;1464;;;UZG;0;829135;0;;0;0;0,4387596924;0,0041844734;71158165300000
POW;3186;3063;powiat Leszno;;13417;26.09.2012;2.01.1;26.09.2012;2.01.1;;;NZN;NZN;13881;0;829172;PL.PZGIK.200;5428dbc9-d8cd-4c70-8562-a67ce2f3e5d8;2012-09-27T08:59:03+02:00;EGIB;3063;;;UZG;0;829172;0;;0;0;0,3944527128;0,0041543522;41105044500000
POW;101069;3009;powiat kolski;;13417;26.09.2012;2.01.1;26.09.2012;2.01.1;;;NZN;NZN;13881;0;829180;PL.PZGIK.200;06a4a975-dc89-4ac3-9d51-cf188532908a;2012-09-27T08:59:03+02:00;EGIB;3009;;;UZG;0;829180;0;;0;0;2,6051082197;0,1329603074;31162083900000
POW;3267;2062;powiat Łomża;;13418;26.09.2012;2.01.1;26.09.2012;2.01.1;;;NZN;NZN;13882;0;829200;PL.PZGIK.200;25b14db9-6719-43ec-a858-a14cb7f7f1eb;2012-09-27T09:26:09+02:00;EGIB;2062;;;UZG;0;829200;0;;0;0;0,4002813395;0,0043897735;45066992100000
POW;83799;3023;powiat słupecki;;13417;26.09.2012;2.01.1;26.09.2012;2.01.1;;;NZN;NZN;13881;0;829162;PL.PZGIK.200;bc05adcf-3a4b-4281-8e7c-f9b2321fa1ed;2012-09-27T08:59:03+02:00;EGIB;3023;;;UZG;0;829162;0;;0;0;2,4879449907;0,1104162168;31101901300000
POW;116553;2206;powiat kościerski;;13420;26.09.2012;2.01.1;26.09.2012;2.01.1;;;NZN;NZN;13884;0;829222;PL.PZGIK.200;5abcd674-cb07-4f48-bd7c-d098c05ecd6d;2012-09-27T09:33:51+02:00;EGIB;2206;;;UZG;0;829222;0;;0;0;2,9269898266;0,1598664254;19167511000000
POW;90638;2613;powiat włoszczowski;;13419;26.09.2012;2.01.1;26.09.2012;2.01.1;;;NZN;NZN;13883;0;829213;PL.PZGIK.200;5843830c-815a-4041-b7f8-df201b35fd79;2012-09-27T09:32:07+02:00;EGIB;2613;;;UZG;0;829213;0;;0;0;2,8811568606;0,1156404595;29100940300000
POW;111952;2806;powiat giżycki;;13422;26.09.2012;2.01.1;26.09.2012;2.01.1;;;NZN;NZN;13886;0;829273;PL.PZGIK.200;82f6f81b-69b4-4dce-a00b-b43c614e3366;2012-09-27T10:00:59+02:00;EGIB;2806;;;UZG;0;829273;0;;0;0;2,7889793556;0,1533766087;79067116500000
POW;106467;2810;powiat mrągowski;;13422;26.09.2012;2.01.1;26.09.2012;2.01.1;;;NZN;NZN;13886;0;829277;PL.PZGIK.200;6c84dd73-1b20-4e96-a5f5-fce0c02ce651;2012-09-27T10:00:59+02:00;EGIB;2810;;;UZG;0;829277;0;;0;0;2,769485471;0,1452239587;51074251100000
POW;103990;0402;powiat brodnicki;;13424;26.09.2012;2.01.1;26.09.2012;2.01.1;;;NZN;NZN;13889;0;829343;PL.PZGIK.200;69fd25f0-9327-464d-a1f1-e75814c3c886;2012-09-27T07:38:30+02:00;EGIB;0402;;;UZG;0;829343;0;;0;0;2,9954982604;0,1400252553;87111836500000
