JPT_SJR_KO,C,3;JPT_POWIER,N,19,11;JPT_KOD_JE,C,20;JPT_NAZWA_,C,128;JPT_ORGAN_,C,254;JPT_JOR_ID,N,9,0;WERSJA_OD,D;WERSJA_DO,D;WAZNY_OD,D;WAZNY_DO,D;JPT_KOD__1,C,3;JPT_NAZWA1,C,3;JPT_ORGAN1,C,3;JPT_WAZNA_,C,3;ID_BUFORA_,N,19,11;ID_BUFORA1,N,19,11;ID_TECHNIC,N,9,0;IIP_PRZEST,C,20;IIP_IDENTY,C,128;IIP_WERSJA,C,32;JPT_KJ_IIP,C,20;JPT_KJ_I_1,C,128;JPT_KJ_I_2,C,32;JPT_OPIS,C,254;JPT_SPS_KO,C,3;ID_BUFOR_1,N,9,0;JPT_ID,N,9,0;JPT_POWI_1,N,19,11;JPT_KJ_I_3,C,3;JPT_GEOMET,N,19,11;JPT_GEOM_1,N,19,11;Shape_Leng,N,19,11;Shape_Area,N,19,11;REGON,C,254
GMI;19711;0204043;Wąsosz;;13359;26.09.2012;2.01.1;26.09.2012;2.01.1;;;NZN;NZN;13827;0;827610;PL.PZGIK.200;2bb80839-2121-4cbb-9fda-a5265cbd2599;2012-09-26T21:49:21+02:00;EGIB;0204043;;;UZG;0;827610;0;;0;0;0,9665633482;0,0255506376;45066977200000
GMI;1329;0618011;Tomaszów Lubelski;;13174;26.09.2012;2.01.1;26.09.2012;2.01.1;;;NZN;NZN;13640;0;828335;PL.PZGIK.200;5654a85e-5095-4968-a34d-aa178c3f1f6f;2012-09-26T22:43:07+02:00;EGIB;0618011;;;UZG;0;828335;0;;0;0;0,2904082599;0,0016827574;95036908900000
GMI;9430;0618072;Rachanie;;13174;26.09.2012;2.01.1;26.09.2012;2.01.1;;;NZN;NZN;13640;0;828336;PL.PZGIK.200;02e606e2-1070-4ce1-bd90-d1010861461e;2012-09-26T22:43:07+02:00;EGIB;0618072;;;UZG;0;828336;0;;0;0;0,7155748013;0,0119600197;95036896000000
GMI;11773;1410012;Huszlew;;13237;26.09.2012;2.01.1;26.09.2012;2.01.1;;;NZN;NZN;13703;0;828830;PL.PZGIK.200;fce49a39-ad30-444f-ba5a-d4f179fe1608;2012-09-26T22:52:06+02:00;EGIB;1410012;;;UZG;0;828830;0;;0;0;0,8425673374;0,0154468451;03023752300000
GMI;12129;1410023;Łosice;;13237;26.09.2012;2.01.1;26.09.2012;2.01.1;;;NZN;NZN;13703;0;828832;PL.PZGIK.200;92eb3dd3-f9a1-40b7-982c-e0d220727cfc;2012-09-26T22:52:06+02:00;EGIB;1410023;;;UZG;0;828832;0;;0;0;0,800603057;0,0159507494;03023740500000
GMI;5750;1406042;Goszczyn;;13265;26.09.2012;2.01.1;26.09.2012;2.01.1;;;NZN;NZN;13731;0;826031;PL.PZGIK.200;f736010b-ced0-4d1b-bd8f-ca51f038bd82;2012-09-26T21:57:51+02:00;EGIB;1406042;;;UZG;0;826031;0;;0;0;0,537292673;0,0074816519;67022366900000
GMI;13406;1406022;Błędów;;13265;26.09.2012;2.01.1;26.09.2012;2.01.1;;;NZN;NZN;13731;0;826032;PL.PZGIK.200;97b56456-ce8a-44c4-8180-9dfd6bea9b37;2012-09-26T21:57:51+02:00;EGIB;1406022;;;UZG;0;826032;0;;0;0;0,8269312501;0,0174637483;67022352800000
GMI;7807;1810032;Czarna;;13300;26.09.2012;2.01.1;26.09.2012;2.01.1;;;NZN;NZN;13766;0;826299;PL.PZGIK.200;57a577e4-3553-4ccf-8c36-922095aeb38e;2012-09-26T22:01:17+02:00;EGIB;1810032;;;UZG;0;826299;0;;0;0;0,9361376246;0,0098143019;69058177800000
GMI;14678;1212073;Wolbrom;;13324;26.09.2012;2.01.1;26.09.2012;2.01.1;;;NZN;NZN;13792;0;826553;PL.PZGIK.200;5e5a0990-c540-4e77-a7d1-d65fd4622cba;2012-09-26T22:11:33+02:00;EGIB;1212073;;;UZG;0;826553;0;;0;0;0,84666119;0,0185554176;27625805500000
GMI;13366;0408092;Wielgie;;13388;26.09.2012;2.01.1;26.09.2012;2.01.1;;;NZN;NZN;13856;0;827871;PL.PZGIK.200;e1e98f6f-9190-48c2-acca-d349728b6a74;2012-09-26T22:32:20+02:00;EGIB;0408092;;;UZG;0;827871;0;;0;0;0,7320931341;0,017787618;91086658300000
